channelId,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCWgO3P-M2bxMpLNmrgRPCYA,1472328,8230.0,False,197
UCtwaWPOXEBysZLh1rrPzwFw,32397198,303000.0,False,648
UClfbvgQoWlxIdN5R939nMNg,126350,644.0,False,16
UCd1tkbnHGMZUPG9z0hdVN8Q,627701,4950.0,False,81
UCElRTb8bEsbF6kfOX2khXDQ,1947321,9330.0,False,227
UCHMXwvzlFALXrZKK9zQbspw,13165,132.0,False,25
UC16eUchrryp13U6FufLfCBA,128758,483.0,False,79
UCaZBoPPrv8RpCZeFXWfnLQw,1202933,23700.0,False,225
UCyJ4kg_1qqbmBlWxlmsQ3fg,158515,184.0,False,30
UCu3n2fE3SQzL8QcHQwdplnQ,110920,4320.0,False,45
UCmmvfxERUrEyEmZiSSI-8kg,273380,4050.0,False,11
UCSArYuBHZtw3jkKBeVXG3wQ,1453,127.0,False,7
UCNflp7B39NL_u-nP-AKw8Dw,1149,44.0,False,16
UC95ycoC9Rdyt-TkzP48WblQ,155296926,196000.0,False,1174
UCc7Zvfa6Q7UiDjxPI4Fm9yQ,102827,1560.0,False,262
UCQ44v7dZOVUUlDcBVZrAwXA,2518481,57200.0,False,174
UCcGypazPypWJ2K5ig_c7LyQ,48700402,271000.0,False,1750
UCO66zvpQorlNfs_7hFCfmaw,45832311,546000.0,False,283
UC2-T9t3Xzw68EkFihEv5-NQ,36908176,66500.0,False,46
UC-cM4uU930-aMe_4NkAcnaQ,1506667,37600.0,False,199
UCgaGqL641t87mOuNaLQ1O9g,146573,3430.0,False,77
UCzneCTGBFn7va5KjYkgxm6Q,56862,242.0,False,3
UCHEhkjzdZ_PjS4Ls9OL406Q,15205,3320.0,False,6
UCSaieSZa-q0FNLcr3bTYHsw,1096248,14600.0,False,40
UC0oEsGiCfLhVAPI_-6U8roA,77939,818.0,False,28
UCGvTbU2SsGONC17Y3TAUwUA,673163,8710.0,False,160
UCWFHCZ5KBtG8sdyDqrCdQ7Q,22802233,13800.0,False,147
UCHznoeEpf_wigyX4oPLg5fA,79498,1290.0,False,42
UCiWIZFq33ywH4rrg4GBR27g,71064,8390.0,False,17
UCn6_ZYlX8KJtV2ZjLMsrxzw,59901,865.0,False,44
UCUAIPUjGW9nT6QCAzjGLjeQ,201574,4740.0,False,59
UC7WbVbMJipNOSgW1Je-c9ZA,1643667,39200.0,False,46
UC0bVrLK0otdvTm_KWKWDgtQ,21109001,239000.0,False,252
UCVWQKYh2bKexxp20dDfRpWQ,301242,2250.0,False,139
UCpPCBKURZps6U2r2qIXXIAw,51941279,484000.0,False,93
UCfJdw-t7UyUIaG-33KfS4Ag,835528,3260.0,False,14
UCkc0sEjDylFZy_Zl8Z2dKfQ,37470,371.0,False,55
UCyW0lzGLMx0-WqKH5A0pCtQ,6689,251.0,False,4
UCLYJasHbl4-ED9HSM3C1BuQ,68243803,169000.0,False,646
UCfYEdvKQekP7RiemXC0o92w,49755493,566000.0,False,486
UCXsoSMI_a4sJZkDQjpfEI5g,51296,303.0,False,55
UCmHL3Is1j48FuuYL4yJ8NQA,660236,5420.0,False,138
UCZHhuUtG6SD7uwRV1CyhFuA,806602,6470.0,False,47
UCG8SL9XqmfWjHijmSW_3NDA,1935226,3860.0,False,39
UCuJgRhXJ0TtWWumAHC5_00A,282908,2160.0,False,83
UC37LAYb2JNua3OtPbMI_tfw,69653,462.0,False,66
UCY1WkFBYltYL_idQnWpKbug,49836,267.0,False,26
UCaSQI9xFOA-PhJf9tRirt5w,2655514,36700.0,False,69
UCFCDAj0kVVmXMsfn32_bmUg,82343,1360.0,False,205
UCUQ14LQIWQCMNvy5cKUKggQ,3459612,12500.0,False,188
UCOhKpIzFxJFzMJYmkhZlpaw,1688476,18900.0,False,158
UCQIhzW3zU6LWRcPisaO51_w,35885413,251000.0,False,1233
UCib3sipEkTwJqpo7wfOXD6w,1368109,7880.0,False,72
UCfvrml65kvZTJ-FukK5ivRQ,31862,,True,73
UCsjiX7LJLsIWyrDNFtaObxQ,285543,375.0,False,8
UCSI-ZKCrHLzvERu13l_4efQ,2354623,6970.0,False,151
UCfgxgpsnv2Nw2mf6XhnzFWQ,493838,3240.0,False,10
UC4GIfjbLKPGWvtATef86rKg,1210,2.0,False,2
UCdjedsUN5O2KnmxxflvAhEQ,8227114,62000.0,False,87
UCMnmXvv9JHJPsrrob-gEn5A,15549368,,True,764
UCev5c9bh98_00CpngiwmlGw,87201,363.0,False,93
UCFqYMo1yOxGXHyXZXMSoTGg,31983,140.0,False,56
UCLk1kUQDy5GXKGh5FHEE_Fw,2490479,50300.0,False,404
UC8IorqflHxktKHROpManTIg,3299,55.0,False,36
UCv-PLuI1ntOuW8DGw7RBtww,566414,6620.0,False,52
UC2LNfh60e6vT-uWxohh_k5A,56057,69.0,False,6
UCV1TMK-sCRHEMj2JPGRQN-g,5387,145.0,False,11
UCU477Lqi3mPCX0hlFVFLhDw,803991,669.0,False,51
UCTsIKTpLU7vkEJh0xKClQFg,336647,1020.0,False,43
UCcWOmT_ia8S0IV8vEjxyMkg,1415970,15400.0,False,135
UCl5Q_6fj9PsCVEA9ytDrbJw,1891,41.0,False,14
UC7PuyuAlp0bsPK-FsrAQfjw,4183,120.0,False,3
UChVLgmUTjMuDZbnJqmwXx6g,281553,599.0,False,9
UCyHsIoSb3Yb-N1_LbogOidg,46305,655.0,False,41
UCE9w28PeMEwMtCJ5P4Gd2Cg,1115073,3070.0,False,68
UCTj_hlsdKs-gLqoEB31IeZg,7730507,97300.0,False,441
UCsT09JEjChDj2mdS668LJrA,17813,24.0,False,4
UCb29uZmZ6TSUerZn_5VBE5A,269313,1050.0,False,692
UCmeS_k_7J2esi3NujiZTVZA,2363063,7530.0,False,42
UC6sRVElCf7NevhlXo8UhMXg,26834,186.0,False,204
UCZOKXY-tHAsqGMKKgLvCHTQ,13899696,59600.0,False,127
UCkSOKD-35SEe7Jw9-LzVX7w,1775434,11200.0,False,149
UC2Y-dMLe8ap4rJUz6BnEyFQ,1279290,4370.0,False,17
UCBHA7sixaWmaqp1Qnbr3ynQ,100853,1360.0,False,43
UCpXxi0IyGmtPWvotvdmRQVQ,8256,7.0,False,6
UCJ2JKFeXZ39o0jsD8iGagmQ,661,57.0,False,7
UCOOG7_bt-UINV8yXPU6o7lQ,7503,76.0,False,95
UCmJvl1KTMP8ZpcLWUMkVd7Q,3265164,11900.0,False,497
UCRE3k-w68T1TgEYL8qplZ2g,381296,2110.0,False,26
UCOJTIwdnbleN5oWvpuzCq9g,15107,158.0,False,20
UCmRVYm_lxRRZ8-mYhqpIiow,175257,1400.0,False,56
UCjCIfL8DeycSLs1SA-J4ENA,310411,2410.0,False,34
UCAvkPyc0Fu2w9ZQIj6Ka0KA,5216553,96600.0,False,73
UCEhcDSXXtWynf04gHONHmwQ,15857,29.0,False,7
UC4q3crhs4-_hxYshEoPUlvQ,59010,989.0,False,240
UCMDxcYFbxxZpij7JyivPy3Q,879307,8930.0,False,128
UCU3fWRuG2WTbMmvRdhXBA-A,108997,1760.0,False,51
UCIsBElE_MMwylib7FmQFIhQ,233306,,True,138
UCGKazmenfpDni_4Q7D2Sraw,112931,1400.0,False,37
UCbwTij5SVBL4a4NznNkNmOA,168560,129.0,False,30
UC3ksBU2Zxs_32dKZ0QvtGfQ,130668,2110.0,False,19
UCceuo1ZdHsxegsoa4Hgn55g,10614425,85500.0,False,327
UC1vh8Wk8c6LyF07MnKzGUVA,98741,1410.0,False,152
UCdsPQPAv9KzBOYVZz2dGfNA,3444098,26800.0,False,202
UCKogCyXLurXp-aUi4lMCCOA,558410,8000.0,False,92
UClpUhsQYaQBbtXkoDO7F3Eg,5005,116.0,False,30
UC3jbtzF9QF2ri7i97IylKTw,2832959,7310.0,False,625
UCJoS92DDp-DjAyVWKLe_3_A,97805,3200.0,False,22
UCrzC3BnBr7BB3hYXEE3CPkQ,117318,3230.0,False,104
UCeuU5qWSbtAGT3SQofs5dHA,233460,2560.0,False,27
UCDCXfYsluUDXIbpaMdKJWhA,313623,1890.0,False,346
UCUEzIBVfokbaRkXhJddbVXg,890635,8540.0,False,77
UCiCEwHGLAWUwJKWfF27vnRA,166457,,True,9
UCK9qSLau3mXEQQHBFHjylLw,171887,140.0,False,9
UCvUxyDPs0Af7sGwZw16HfMw,1872,94.0,False,17
UCYCCdM7X9F9hRy1a8jIcS-Q,3005646,29100.0,False,228
UC4e7ESAtaybfh404m8DGURQ,17107,40.0,False,1
UCF83EzX9eD_TeNdP7TtOzBw,631016,8230.0,False,75
UCk-3rL55fKTgecND4M5CyQA,180379,1800.0,False,88
UCfrAwnZPt7F_7XQGeaFXBjQ,81752,317.0,False,37
UCCP3G9elxsgBhrExAsJeJyw,326543,2970.0,False,39
UCS04TsUvB2DazLBzdKzBB7Q,80756,963.0,False,254
UC5C1Q27q79acieSvRCcY0Iw,53461,574.0,False,196
UC66Bifa72fhip47TVByIPbA,129428,340.0,False,62
