id,viewCount,likeCount,dislikeCount,commentCount,likeRatio %,commentRatio %
BRKMXhG0-HU,27633,223,27,27,89.2,0.0977
EPvQe52Jpp4,1624,91,4,11,95.8,0.6773
HtQRKmAOEWw,5004,107,15,13,87.7,0.2598
02XRJebZTik,2530,46,9,21,83.6,0.8300
NslRZQvKDAA,2633,112,0,7,100.0,0.2659
zEn-JhkzZrA,55,3,0,3,100.0,5.4545
kbpDUDCZSjQ,22017,170,15,72,91.9,0.3270
puGKcFLgXRY,689,42,1,17,97.7,2.4673
pEO3dubULQ0,155,6,2,0,75.0,0.0000
26aKG6jDJrQ,16477,812,8,44,99.0,0.2670
d-fCJtz1vY8,30,4,0,0,100.0,0.0000
o-l6y5HH_10,11715,586,18,115,97.0,0.9816
Zktc9XEHXGI,98,8,1,2,88.9,2.0408
Sc8vuZtBWFQ,84,7,0,0,100.0,0.0000
6egLrV7WTT4,69,10,0,8,100.0,11.5942
JjfIt71yHJg,91,3,0,0,100.0,0.0000
6ulFz9U3ojE,15,3,0,0,100.0,0.0000
2JWLqgM18_0,182,20,0,6,100.0,3.2967
CfbMLznHWw8,0,0,0,0,nan,nan
hDPN9_6cR4E,28,2,0,4,100.0,14.2857
X-gbRBJiyO0,27,5,0,3,100.0,11.1111
I_X5_S2kqP4,148,35,3,7,92.1,4.7297
ItYJ18d_eCI,34,1,0,2,100.0,5.8824
A-p3GCr-iF8,36,10,0,2,100.0,5.5556
RBevfXd3de0,137,11,0,3,100.0,2.1898
YDjejhMeGBM,3853,241,2,21,99.2,0.5450
-LwWJ746lTE,89,4,0,0,100.0,0.0000
MbAtgXBV6f8,43,3,1,0,75.0,0.0000
PnkFa3PCbdA,183,27,1,4,96.4,2.1858
zHHay5dFSz0,122,14,0,4,100.0,3.2787
yGwmQ5molvI,861,83,5,17,94.3,1.9744
k5qsz1OJMqo,29,1,0,2,100.0,6.8966
x4ekqELZ33o,463,65,2,12,97.0,2.5918
ROQ0N4qoH8o,5,0,0,0,nan,0.0000
WCaASc-XFYY,586,74,3,18,96.1,3.0717
VRvaeQV7Yzk,182,20,0,11,100.0,6.0440
9SODBAHQOvM,163,13,0,10,100.0,6.1350
xUqvDpl6tM4,28,2,0,2,100.0,7.1429
7U3yfXP9vxQ,175,22,0,7,100.0,4.0000
ZLqtNRSAnNU,77,0,0,2,nan,2.5974
acRZFYxFZUA,4,0,0,0,nan,0.0000
xO8tEeMQQug,149,19,0,12,100.0,8.0537
YHkfyWEMAEA,310,54,2,8,96.4,2.5806
VqwC0UDd_XA,16,4,0,0,100.0,0.0000
4Tk1zs0Bs-k,18,2,0,0,100.0,0.0000
qjArVukPOQo,635,56,1,11,98.2,1.7323
Xi432wVgM8A,150,15,0,6,100.0,4.0000
tzyZQX8QT-s,383,33,1,5,97.1,1.3055
2xd-PuQaD1w,1172,102,1,12,99.0,1.0239
