id,viewCount,likeCount,dislikeCount,commentCount,likeRatio %,commentRatio %
PUlECH_sXsc,63576,703,91,51,88.5,0.0802
dhZOzypfwPE,57292,2006,80,425,96.2,0.7418
9i06i6JOtIQ,11759,279,11,67,96.2,0.5698
zGXokGLhQXI,28624,1437,23,75,98.4,0.2620
vECs3TsGD-s,5004,166,2,44,98.8,0.8793
RfrwXgjT1E0,7016,130,21,33,86.1,0.4704
rQOkvwohGyk,90822,593,39,72,93.8,0.0793
LzwmIpNHiyw,12748,346,2,21,99.4,0.1647
AwzsOv4r4_E,14387,247,6,30,97.6,0.2085
fe9IKeYnZ04,27241,884,48,59,94.8,0.2166
EfAUj3lvW3A,195642,6483,112,678,98.3,0.3466
8IIvWXe08iI,5632,248,3,50,98.8,0.8878
k_rzehfIaaM,87,0,0,1,nan,1.1494
sDPBUOFRVzc,2798,280,1,68,99.6,2.4303
czvRxrbiE0g,4962,202,5,33,97.6,0.6651
C4ANJsGNOdI,962,81,3,17,96.4,1.7672
Xet1E-2qVTg,30997,529,9,109,98.3,0.3516
lm-mvjA8J28,4347,540,10,97,98.2,2.2314
x8It4uXjuNk,1425,55,0,5,100.0,0.3509
aU8G3tvh0gQ,52856,141,16,63,89.8,0.1192
yi0J9JsRdI4,1254864,51751,466,1792,99.1,0.1428
coESCk5hdjU,139706,2365,222,138,91.4,0.0988
-bi-V-tDSEg,1128,165,3,76,98.2,6.7376
K3WUdH7KCOc,2827,40,8,4,83.3,0.1415
DCfOfkLgKdc,4538,107,4,6,96.4,0.1322
_VGOy-bOj3g,352704,7314,89,330,98.8,0.0936
dU3j9VkKXtA,97996,3294,81,141,97.6,0.1439
3W2XTGMj8aw,26910,1912,47,185,97.6,0.6875
2mqibVWgKsw,7764,111,3,14,97.4,0.1803
Sre0XfSqKJs,2370,86,3,5,96.6,0.2110
QUUlrwYtePo,6596,201,9,19,95.7,0.2881
dxa5DVnaSR4,3055,147,3,39,98.0,1.2766
