,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
SIYVjfdzP_Q,157927,3310,277,0,169.0
2XgAHx_IubY,2324,113,1,0,22.0
hXBpU6sxZ2U,150559,4551,54,0,327.0
XOUJvcM70xY,9788,521,6,0,25.0
5QGHieX0aLA,14958,776,25,0,59.0
9cbUxCL8feQ,15058,44,1,0,18.0
KTu0N16H9jg,457943,7532,902,0,345.0
DC3ON3Q2wr8,117748,1111,55,0,72.0
uKwWTAc2fiE,35978,1461,45,0,242.0
Wtnex-6rjWE,122326,4551,23,0,220.0
LMaJoPsh_dI,316726,6261,183,0,377.0
3HZFEX6tg1c,23413,1123,38,0,47.0
pRn_iCDwEP8,796646,17922,377,0,699.0
NZWzNqHVlMA,26294,940,36,0,91.0
kGnQsotpAm8,192397,966,41,0,91.0
HknfkUdXLHI,5552,94,12,0,11.0
9wK0sNlUeSg,106505,5402,91,0,209.0
uoiZWi5e_0c,1672,188,1,0,32.0
pqcwGikgWJQ,899233,26163,1364,0,1158.0
LFcMHBRCR_k,52309,2829,32,0,119.0
FjSIUi1P8d0,669551,14260,379,0,711.0
o2IRx_4Q8aw,343679,13263,121,0,628.0
9gh5WXUIwo4,3081,166,3,0,12.0
4aL3QBBuAhg,1998,161,5,0,54.0
WWvr7RFHvQk,3394,151,4,0,10.0
VP2nTWqPnro,8962,417,6,0,62.0
biNm8F9MP6M,29152,440,24,0,69.0
Anq2ZcumEp0,6330,231,6,0,43.0
EfAUj3lvW3A,191995,6381,110,0,681.0
NQFwSJMgXZk,42016,855,52,0,66.0
npkr03Fq4HM,64624,2785,13,0,268.0
orPqQ4g691E,11377,608,15,0,44.0
xoan1IXgZrc,111676,4190,28,0,328.0
ipIwTyOqIzc,9776,245,25,0,70.0
ppFubdc5EKQ,14046,315,10,0,50.0
XN3aA0Ws8RU,6758,447,17,0,145.0
nnR2fdVNaMo,28781,1567,29,0,78.0
0Ayd86r4FQ0,64863,1132,17,0,137.0
28eCFhctJPI,6050,462,1,0,43.0
Z-jbp30BPSU,98716,3876,17,0,332.0
oAY9Y29SDFc,2670,271,3,0,68.0
czvRxrbiE0g,4800,198,5,0,33.0
_4DxjDZnt2c,226704,8075,75,0,524.0
vNQaJpNCDLY,4566,275,6,0,37.0
cF32zeuTTro,107415,5040,91,0,312.0
kcM_DwmRr94,3729156,37326,1729,0,1946.0
1MJ4miv9nWE,56289,1052,21,0,200.0
KDGGxyDv1Vs,757,44,1,0,37.0
um4cRkZHxzU,89118,4580,40,0,344.0
SvO8EYGEg-w,120051,2360,90,0,135.0
RJfs7pTwuIA,86533,3462,32,0,220.0
eAVScPhNSDs,505487,15505,438,0,517.0
yete3yVjdcU,78337,2398,67,0,194.0
86JeY83vEYM,130,5,0,0,5.0
vECs3TsGD-s,4420,150,2,0,46.0
jpZfd4iqdos,61783,2933,18,0,326.0
0wBbAxMgAHs,1350,77,2,0,18.0
B54Gh7lT3-Y,3532,138,0,0,17.0
0-N-5kEzTsw,70021,835,21,0,86.0
V03-w-eR16E,96467,606,118,0,93.0
lzlf00gHNkU,67702,2362,21,0,
E9Z6T5qdFP0,89259,1510,170,0,187.0
BI4vQWCgk_k,1391,145,0,0,29.0
Vr9A2oVy570,578132,7536,220,0,148.0
Lsr-o0hCI2s,76001,2770,20,0,474.0
8tWGXSjbZJE,7453,291,3,0,25.0
mJCYEEi5SQc,7896,400,5,0,49.0
i_1JJzCYMkU,3210218,16151,876,0,
0mp2H_Byw_M,3096,174,0,0,79.0
6ouRWPiSD_Q,7609,353,5,0,44.0
5EKC8wjLE7o,93524,5615,107,0,462.0
PGeM2hlCQMg,13872,333,14,0,34.0
GZtgKJgZOLU,66209,3977,15,0,470.0
K3WUdH7KCOc,2783,39,8,0,4.0
59MSSKWjLkM,32894,1928,8,0,100.0
EHy7kh8Am3Q,197042,7572,45,0,479.0
7hxW89hMK8o,8575,469,17,0,48.0
f3Bu6tOTrXY,5944,275,1,0,24.0
aj7DgXsx3m8,45093,1732,38,0,153.0
dOI-NfKfo7c,49146,36,115,0,
AQFn2z9vxj8,7778,236,8,0,52.0
i80UpTG5n9M,107177,2544,49,0,268.0
bBXnLuH02_c,1063,161,2,0,35.0
LI3YnQCMVSE,232203,6443,194,0,326.0
l3XUCJnt7Gg,523,49,0,0,14.0
OBp8IULQxiI,57371,1742,85,0,108.0
z19qZqHWYFI,242038,5361,241,0,212.0
xSBdoEd8GCY,5658,293,5,0,15.0
h0VplwfWef0,234026,5191,125,0,566.0
JGRpQGXogdQ,103447,447,38,0,72.0
b8J0NelhYIk,658,33,2,0,2.0
a9pd-y_aEF0,25411,1582,31,0,124.0
iwGCqZVDJjk,379294,1082,69,0,243.0
JG2YcDlPUps,134314,3985,82,0,373.0
kxB6-fB9kKM,7546,218,5,0,34.0
IsLWQAvUk4w,24160,3144,12,0,291.0
Eo8c4c9LW2I,609,95,0,0,31.0
GIOOUlNhy2M,57332,2393,11,0,192.0
qEh9vinTM7M,242146,608,209,0,128.0
cqSm3G6Q718,3493,166,2,0,54.0
s_FNpSRfejE,34845,489,35,0,113.0
q8znkD0G4CA,32754,2501,20,0,161.0
kvAtzCxUHng,5226,196,2,0,38.0
y9Yb0sdVh0M,1928,83,6,0,14.0
vkIinz6ALU4,3458,152,1,0,35.0
LG97k1f7jsA,15575,831,17,0,45.0
jCa-g0XvOaA,69286,1284,28,0,56.0
zVGf2GIiEyk,200,3,0,0,0.0
oB3abUVnnf8,98880,4443,46,0,400.0
lRXUefHUYUA,3369,168,4,0,25.0
kr9bbQX_pAE,133266,4784,97,0,408.0
AH6q4Wg_1Fw,1180,49,1,0,17.0
DyKvz5dT0EI,572,60,0,0,30.0
oHQNdXAX7Ds,56975,396,8,0,178.0
k9mFsUha7qc,99736,2301,25,0,93.0
jtMHTyro1_c,814,51,0,0,12.0
91vygo7zHd4,2311,121,5,0,40.0
HRXXBEjGC0M,324319,7674,397,0,468.0
dGs5wJ9zblo,65382,1354,51,0,110.0
sl5yB6R3fRw,10276,771,20,0,95.0
ceEG89icy3M,21363,31,32,0,49.0
Rr_ukvCpV2U,154756,5528,33,0,374.0
TCA3UgA_tHM,30218,793,24,0,36.0
sZUw9WPaH1k,46115,1534,25,0,182.0
Vvb0TXeE6w8,45,7,0,0,2.0
dn9obZ0rcIE,4644,112,7,0,16.0
lQNgHJPaSek,156238,3978,220,0,174.0
hY4iv7vomS4,5741,99,3,0,17.0
HfOJR7ly9Zs,33000,135,26,0,27.0
M9rlYAc9jNE,13249,47,9,0,20.0
6ufYMd193Pg,43770,1415,32,0,55.0
Ex9xSnmV-Qw,10758,223,12,0,21.0
LP26wVIM82M,3173,123,2,0,22.0
phxEbFAYSbY,25389,425,31,0,60.0
24tZ7uowPpM,114,7,0,0,0.0
2DNeMIWi7nY,1484,109,0,0,36.0
K7W41Dd8wug,13208,661,6,0,74.0
mW6z8u8sXLc,145715,4391,173,0,342.0
LM33X1GJ3d8,70013,2658,28,0,326.0
-sXn89TVeT0,90341,4840,67,0,247.0
sysPtdqMidk,1077,66,0,0,45.0
KxlKibsyN0I,2962,85,6,0,19.0
fM68P-yVe4s,1134,207,1,0,49.0
R4dGeHAafkg,162183,9942,43,0,768.0
e001DK7bCMw,59743,586,26,0,50.0
6qSGDkNCfBE,114253,787,52,0,162.0
NgUKx8byIMw,38241,2389,34,0,115.0
wmkBIczrCeA,1099,49,2,0,28.0
opqjFxLq3rs,588,26,2,0,5.0
_IrdIDsc_P0,382833,11621,163,0,1502.0
LzwmIpNHiyw,12040,322,2,0,21.0
pCpNcPlNS4c,10774,611,8,0,72.0
wP2eBeRmJvs,4328,115,8,0,11.0
a8f4ON7YAfg,5596,340,2,0,37.0
v_BfbXhyawI,9906,501,10,0,33.0
0JWRREBVGYc,247738,6270,278,0,274.0
QUUlrwYtePo,6333,193,9,0,18.0
