id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
M_E5rNgYmW4,14942,596.0,9.0,0,48.0
e5vevmoV-Vs,56298,3227.0,27.0,0,197.0
AVvfnmN5kC8,28061,769.0,38.0,0,98.0
FG-h-u3PCoY,17870,716.0,12.0,0,51.0
x6KTf-0Ocjs,192245,1728.0,95.0,0,259.0
o2IRx_4Q8aw,344528,13294.0,121.0,0,628.0
r4_PtaKFEV4,13887,1065.0,12.0,0,117.0
5QGHieX0aLA,15052,780.0,25.0,0,59.0
KTu0N16H9jg,458292,7540.0,902.0,0,345.0
XOUJvcM70xY,9998,526.0,6.0,0,25.0
3r77R_siKYY,564,29.0,0.0,0,23.0
1qQnfb3Z9_I,1842,130.0,1.0,0,56.0
EqvcDNheMHY,4630,222.0,1.0,0,36.0
kGnQsotpAm8,192491,966.0,41.0,0,91.0
vNQaJpNCDLY,4695,281.0,6.0,0,37.0
UjUl759jmJA,552381,23326.0,441.0,0,1068.0
DC3ON3Q2wr8,117765,1111.0,55.0,0,69.0
n_choA50wME,126493,5511.0,39.0,0,619.0
_sDftXy--yE,6588,468.0,6.0,0,51.0
GFaevCSA4VY,8704,322.0,4.0,0,33.0
Z-jbp30BPSU,99065,3889.0,17.0,0,334.0
9wK0sNlUeSg,107142,5417.0,91.0,0,209.0
bDfEUO95aRM,11343,290.0,15.0,0,31.0
9cbUxCL8feQ,15058,44.0,1.0,0,18.0
hXBpU6sxZ2U,150799,4562.0,54.0,0,329.0
LFcMHBRCR_k,52457,2835.0,32.0,0,119.0
wDDwuRZZBCA,166088,4058.0,207.0,0,242.0
WWvr7RFHvQk,3547,158.0,5.0,0,12.0
pEUPlrZx3J0,15590,764.0,11.0,0,51.0
ylwDBhdv-CY,190694,4176.0,67.0,0,
NZWzNqHVlMA,26307,939.0,36.0,0,91.0
BdKywbqFhxg,5568,441.0,3.0,0,42.0
DzV5msnrmFE,904474,18676.0,432.0,0,945.0
Wtnex-6rjWE,122713,4559.0,23.0,0,220.0
-Q8oG8JRStE,28816,1612.0,20.0,0,137.0
2v6qCmJpT_o,611468,2757.0,261.0,0,472.0
LMaJoPsh_dI,316798,6260.0,184.0,0,377.0
ulAFunaTmzU,533024,18310.0,169.0,0,1111.0
biNm8F9MP6M,29244,442.0,25.0,0,71.0
sazu2UeZQcs,8325,201.0,7.0,0,27.0
R_qpoe7oGrg,71311,3306.0,17.0,0,227.0
LIpYEvWeF78,638,120.0,0.0,0,58.0
NQFwSJMgXZk,42132,858.0,52.0,0,66.0
nnR2fdVNaMo,28832,1569.0,29.0,0,78.0
kcM_DwmRr94,3729392,37333.0,1730.0,0,1946.0
nFdc16BXlWA,863,99.0,0.0,0,17.0
VP2nTWqPnro,9226,423.0,6.0,0,62.0
EfAUj3lvW3A,192441,6395.0,111.0,0,680.0
bgzvKhWSGXU,7620,552.0,16.0,0,30.0
kjv8aGHi8eA,2628,326.0,3.0,0,116.0
7hxW89hMK8o,8599,471.0,17.0,0,48.0
um4cRkZHxzU,89327,4592.0,41.0,0,344.0
yete3yVjdcU,78362,2399.0,67.0,0,194.0
jpZfd4iqdos,62038,2941.0,18.0,0,326.0
YkxWZCKkYGY,24257,2319.0,41.0,0,287.0
0wBbAxMgAHs,1356,78.0,2.0,0,18.0
PmkV22wNT_k,191384,5956.0,75.0,0,453.0
7ulVC300jgY,75,6.0,0.0,0,0.0
i_1JJzCYMkU,3210729,16155.0,876.0,0,
xIbMZViGEwE,48478,1486.0,20.0,0,199.0
iwGCqZVDJjk,379304,1082.0,69.0,0,243.0
