id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
sdEMOJguDjQ,13720,218.0,7.0,0,19.0
x6KTf-0Ocjs,192245,1728.0,95.0,0,259.0
M_E5rNgYmW4,14932,596.0,9.0,0,48.0
9wK0sNlUeSg,107062,5421.0,91.0,0,209.0
AVvfnmN5kC8,28018,766.0,38.0,0,98.0
e5vevmoV-Vs,56288,3227.0,27.0,0,197.0
KTu0N16H9jg,458243,7538.0,902.0,0,345.0
3r77R_siKYY,563,29.0,0.0,0,23.0
DzV5msnrmFE,904425,18671.0,432.0,0,945.0
DC3ON3Q2wr8,117761,1111.0,55.0,0,69.0
_sDftXy--yE,6562,467.0,6.0,0,51.0
5QGHieX0aLA,15041,778.0,25.0,0,59.0
9cbUxCL8feQ,15058,44.0,1.0,0,18.0
r4_PtaKFEV4,13873,1065.0,11.0,0,117.0
n_choA50wME,126416,5504.0,39.0,0,619.0
kGnQsotpAm8,192480,966.0,41.0,0,91.0
UjUl759jmJA,552327,23321.0,440.0,0,1068.0
EqvcDNheMHY,4622,222.0,1.0,0,36.0
LFcMHBRCR_k,52437,2833.0,32.0,0,119.0
vNQaJpNCDLY,4686,279.0,6.0,0,37.0
hXBpU6sxZ2U,150775,4560.0,54.0,0,329.0
zVGf2GIiEyk,211,4.0,0.0,0,0.0
Z-jbp30BPSU,99014,3882.0,17.0,0,334.0
GFaevCSA4VY,8681,322.0,4.0,0,33.0
x4XkQtpyWxM,99569,431.0,30.0,0,64.0
czvRxrbiE0g,4819,199.0,5.0,0,33.0
bDfEUO95aRM,11343,290.0,15.0,0,31.0
SvO8EYGEg-w,120186,2360.0,90.0,0,135.0
HknfkUdXLHI,5598,94.0,12.0,0,11.0
WWvr7RFHvQk,3525,157.0,5.0,0,11.0
NZWzNqHVlMA,26306,939.0,36.0,0,91.0
Anq2ZcumEp0,6356,231.0,6.0,0,43.0
LMaJoPsh_dI,316786,6260.0,184.0,0,377.0
ylwDBhdv-CY,190688,4176.0,67.0,0,
-Q8oG8JRStE,28809,1611.0,20.0,0,137.0
SIYVjfdzP_Q,157950,3311.0,277.0,0,169.0
Wtnex-6rjWE,122658,4561.0,23.0,0,220.0
xoan1IXgZrc,111986,4200.0,28.0,0,328.0
cF32zeuTTro,107699,5057.0,91.0,0,314.0
TJoZEsZtrc0,68233,4788.0,25.0,0,313.0
nnR2fdVNaMo,28824,1569.0,29.0,0,78.0
NQFwSJMgXZk,42117,858.0,52.0,0,66.0
VP2nTWqPnro,9197,423.0,6.0,0,62.0
i_1JJzCYMkU,3210654,16155.0,876.0,0,
um4cRkZHxzU,89307,4587.0,41.0,0,344.0
jpZfd4iqdos,62012,2942.0,18.0,0,326.0
iwGCqZVDJjk,379302,1082.0,69.0,0,243.0
RJfs7pTwuIA,86834,3475.0,33.0,0,219.0
yete3yVjdcU,78360,2399.0,67.0,0,194.0
RGN_NYB-Cfg,9566,550.0,10.0,0,18.0
xIbMZViGEwE,48463,1486.0,20.0,0,199.0
0-N-5kEzTsw,70043,836.0,21.0,0,87.0
YkxWZCKkYGY,24243,2322.0,41.0,0,287.0
PGeM2hlCQMg,14036,338.0,15.0,0,34.0
V03-w-eR16E,96471,606.0,118.0,0,93.0
GZtgKJgZOLU,66365,3981.0,15.0,0,469.0
GedORCEiaQo,360579,1345.0,64.0,0,392.0
0wBbAxMgAHs,1356,78.0,2.0,0,18.0
E9Z6T5qdFP0,89363,1513.0,170.0,0,189.0
7ulVC300jgY,75,6.0,0.0,0,0.0
vECs3TsGD-s,4488,151.0,2.0,0,46.0
rAdLN8ruohw,7296,212.0,7.0,0,37.0
0mp2H_Byw_M,3140,176.0,0.0,0,79.0
6ouRWPiSD_Q,7632,353.0,5.0,0,44.0
5EKC8wjLE7o,93771,5623.0,107.0,0,462.0
EHy7kh8Am3Q,197629,7587.0,44.0,0,480.0
kPzCib0ssdQ,103360,3870.0,83.0,0,322.0
i80UpTG5n9M,107414,2550.0,49.0,0,268.0
_8bOcdYdaOA,393234,13510.0,84.0,0,1093.0
B54Gh7lT3-Y,3583,138.0,0.0,0,19.0
59MSSKWjLkM,32954,1932.0,9.0,0,100.0
ppFubdc5EKQ,14077,315.0,10.0,0,50.0
f3Bu6tOTrXY,6003,277.0,1.0,0,24.0
AQFn2z9vxj8,7820,239.0,8.0,0,52.0
Vr9A2oVy570,578865,7543.0,221.0,0,147.0
dOI-NfKfo7c,49146,36.0,115.0,0,
39aDN8rpSpQ,878300,35351.0,186.0,0,1611.0
h0VplwfWef0,234400,5202.0,125.0,0,566.0
JG2YcDlPUps,134580,3999.0,83.0,0,373.0
HRXXBEjGC0M,324496,7678.0,397.0,0,468.0
ZUlXZyC6JZs,622727,24069.0,123.0,0,1357.0
z19qZqHWYFI,242130,5365.0,241.0,0,212.0
8tWGXSjbZJE,7555,295.0,3.0,0,25.0
oIvprjWTwWU,214423,6261.0,213.0,0,342.0
kxB6-fB9kKM,7592,218.0,5.0,0,34.0
RQDvnfleST0,644348,4554.0,106.0,0,
l3XUCJnt7Gg,532,49.0,0.0,0,14.0
7OrSS-Ff7Zg,5439,169.0,4.0,0,36.0
wP2eBeRmJvs,4347,115.0,8.0,0,11.0
JGRpQGXogdQ,103450,447.0,38.0,0,72.0
OBp8IULQxiI,57389,1744.0,85.0,0,108.0
9gh5WXUIwo4,3134,166.0,3.0,0,12.0
jCa-g0XvOaA,69298,1284.0,28.0,0,56.0
hY4iv7vomS4,5753,99.0,3.0,0,17.0
a9pd-y_aEF0,25453,1584.0,31.0,0,124.0
LP26wVIM82M,3184,123.0,2.0,0,22.0
GIOOUlNhy2M,57518,2403.0,11.0,0,192.0
cqSm3G6Q718,3524,167.0,2.0,0,54.0
91vygo7zHd4,2392,123.0,5.0,0,40.0
k9mFsUha7qc,99751,2301.0,25.0,0,93.0
oB3abUVnnf8,98901,4444.0,46.0,0,400.0
kr9bbQX_pAE,133389,4789.0,97.0,0,408.0
s_FNpSRfejE,35016,496.0,35.0,0,113.0
LakqVfLZO5w,8310,172.0,13.0,0,19.0
dGs5wJ9zblo,65449,1355.0,51.0,0,110.0
cJBaGhyWR5o,34,5.0,0.0,0,0.0
q8znkD0G4CA,33243,2520.0,20.0,0,161.0
v_BfbXhyawI,9923,503.0,10.0,0,33.0
Ok7JGU9qpww,2321,75.0,2.0,0,33.0
PPfLAcEI51Q,60096,605.0,46.0,0,87.0
AH6q4Wg_1Fw,1186,49.0,1.0,0,17.0
Rr_ukvCpV2U,155221,5541.0,33.0,0,374.0
VSSAjYuHOfY,3243,216.0,5.0,0,35.0
6qSGDkNCfBE,114263,787.0,52.0,0,162.0
sZUw9WPaH1k,46150,1536.0,25.0,0,182.0
xBUY3VD0LqU,12960,471.0,10.0,0,39.0
ICCtF4OdESY,65,0.0,0.0,0,2.0
Mopu0Zoi6BA,9217,120.0,4.0,0,27.0
k6aA1QCEg6w,3017,132.0,2.0,0,24.0
0JWRREBVGYc,247789,6270.0,278.0,0,274.0
7-ZNK-tBxDU,569,111.0,1.0,0,20.0
4r9CzXzakgM,343091,11715.0,938.0,0,514.0
gsx8dN-guz8,2499,101.0,0.0,0,14.0
66uauaqEzyE,4756,39.0,5.0,0,2.0
bgzvKhWSGXU,7153,522.0,16.0,0,28.0
M5_EI4x4D5c,23762,387.0,13.0,0,70.0
mJCYEEi5SQc,7944,400.0,5.0,0,49.0
6ufYMd193Pg,43794,1419.0,32.0,0,55.0
s52hc9oyOQQ,34488,582.0,13.0,0,51.0
DI8x7g96wso,17597,609.0,24.0,0,76.0
vD2nJZWT03s,241,9.0,0.0,0,1.0
HASd6ga2ivo,4101,104.0,3.0,0,14.0
sl5yB6R3fRw,10430,777.0,20.0,0,99.0
NgUKx8byIMw,38542,2403.0,35.0,0,115.0
lRXUefHUYUA,3391,168.0,4.0,0,25.0
DyKvz5dT0EI,587,60.0,0.0,0,30.0
DoiwHG8EtHQ,1680492,32485.0,626.0,0,1737.0
P503hy2_vZ4,52113,1999.0,26.0,0,183.0
cfPIOwMubxM,23228,481.0,16.0,0,28.0
sysPtdqMidk,1130,68.0,0.0,0,45.0
ulAFunaTmzU,532717,18305.0,169.0,0,1111.0
y9Yb0sdVh0M,1942,83.0,6.0,0,14.0
HT4CTEjEBi8,81835,1905.0,296.0,0,177.0
2mmKWbfzEBQ,2157,11.0,0.0,0,6.0
brlAPtpQmeY,139782,1977.0,194.0,0,165.0
dIUDYgK0OsY,132,4.0,0.0,0,3.0
-bBohFZpr88,3937,216.0,3.0,0,37.0
e001DK7bCMw,59759,588.0,26.0,0,50.0
kjv8aGHi8eA,2604,322.0,3.0,0,115.0
41VeJREZsN4,9771,203.0,37.0,0,41.0
7KW8KbEHF_w,414331,23991.0,279.0,0,667.0
kr0UcFunQi0,37362,1252.0,12.0,0,49.0
24tZ7uowPpM,114,7.0,0.0,0,0.0
yi0J9JsRdI4,1182840,48918.0,443.0,0,1744.0
N5uNlPBVJtQ,19500,135.0,5.0,0,27.0
7ovIIalA5jA,3451,209.0,26.0,0,21.0
ndn-ohS51u4,114,3.0,0.0,0,0.0
aS_xFYbvsvE,241109,4166.0,114.0,0,325.0
Ctf0rddb0sk,3257,105.0,3.0,0,16.0
PUlECH_sXsc,62411,688.0,88.0,0,51.0
uVkqLjTfpog,784,82.0,0.0,0,17.0
Wu86NjgKZec,79486,422.0,19.0,0,75.0
DCfOfkLgKdc,4487,105.0,4.0,0,6.0
Kx4dBTyJiz8,1045,57.0,3.0,0,24.0
zyBYg6Gqp2o,47513,1293.0,136.0,0,151.0
oNCuo0_YU4w,4120,21.0,3.0,0,15.0
9bLOvveUgis,115601,211.0,21.0,0,119.0
L3puO8Q8fBY,90400,2689.0,53.0,0,192.0
PEzkmKTyHYw,120362,3518.0,98.0,0,184.0
LzwmIpNHiyw,12106,324.0,2.0,0,21.0
vkIinz6ALU4,3531,155.0,1.0,0,35.0
0voWldAeurM,4446,210.0,5.0,0,22.0
mZxrw0Nxt9o,755,149.0,0.0,0,33.0
homU5Jzyr20,48742,804.0,25.0,0,93.0
dn9obZ0rcIE,4652,113.0,7.0,0,16.0
aM3VYFuuY0w,108,9.0,0.0,0,3.0
RI8yIrWoMH8,930,58.0,0.0,0,8.0
Vvb0TXeE6w8,48,7.0,0.0,0,2.0
dU3j9VkKXtA,96554,3253.0,79.0,0,142.0
coESCk5hdjU,139586,2363.0,222.0,0,138.0
1qQnfb3Z9_I,1769,128.0,1.0,0,55.0
hWuQ9ieHlfA,41315,113.0,14.0,0,
M9rlYAc9jNE,13249,47.0,9.0,0,20.0
CfIcxvPxkzo,69258,2644.0,21.0,0,268.0
NOgxPzQHGLI,49770,883.0,27.0,0,147.0
fe9IKeYnZ04,27110,882.0,47.0,0,59.0
SyGtLMHr23Q,19,7.0,0.0,0,2.0
e0q7-7OlGp8,224154,735.0,77.0,0,355.0
-jpZmrqMLlY,133998,3189.0,140.0,0,300.0
P_Exkej4BeE,143458,4392.0,90.0,0,231.0
JKKNiwN9t4U,116033,2623.0,12.0,0,129.0
A7FD8hNhWRM,8386,132.0,6.0,0,40.0
EHB3yJMPlQU,36317,640.0,12.0,0,70.0
uj-kHL9q37Y,660,6.0,0.0,0,2.0
_VGOy-bOj3g,352257,7305.0,89.0,0,338.0
rPaunY6h98w,9585,854.0,3.0,0,79.0
fSrBirMrVOQ,7107,415.0,3.0,0,36.0
3W2XTGMj8aw,23056,1741.0,39.0,0,174.0
